,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_Dataset (name),A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES (Pop-based),D_PBT,D_Population based,D_Gradient based,D_SMAC,D_TPE,D_BO-Gaussian Processes,D_BO-MTBO,D_BO-BOHAMIANN,D_BO - DNGO,D_SHA,D_HB-Hyperband,D_ASHA,D_BO-Fabolas,D_BOHB,D_HB-LCNet,D_Approximation based,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Time Resources,del_Number of maximum function evaluations/ trials budget,del_Wall Clock Time [s],del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_Dataset (name),del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
64,64,,,,,,,>100,,60,1,>6000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65,65,,,,yes,,,<2,,720,2,<2880,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
66,66,,,,yes,,,2:20,,720,2,2880:28800,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
67,67,,,,yes,,,20:200,,720,2,28800:288000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
68,68,,,,yes,,,<10,,720,2,<14400,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
69,69,,,,yes,,,10:100,,720,2,14400:144000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
70,70,,,,yes,,,100:500,,720,2,14400:720000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
71,71,,,,yes,,,<2,,720,2,<2880,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
72,72,,,,yes,,,2:50,,720,2,2880:72000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
73,73,,,,yes,,,50:200,,720,2,72000:288000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
74,74,,,,yes,,,<5,,720,2,<7200,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
75,75,,,,yes,,,5:50,,720,2,7200:72000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
76,76,,,,yes,,,50:500,,720,2,72000:720000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
77,77,,,,,,,<5,,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
78,78,,,,,,,2:50,,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
79,79,,,,,,,50:200,,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,convex (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
80,80,,,,,,,<10,,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
81,81,,,,,,,10:200,,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,mrbi (mnist-rot-back-image) (Larochelle2007),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
82,82,,,,,,,,<10,,1,<10,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,mnist surrogate (Klein2017),,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
83,83,,,,,,,,"0,444444444",,1,"0,444444444",Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,mnist surrogate (Klein2017),,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,,"1,00000",,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
84,84,,,,,,,,40:100,,1,40:100,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,mnist surrogate (Klein2017),,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,"0,50000",,"0,50000",,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
85,85,,,,,,,,100:400,,1,100:400,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,mnist surrogate (Klein2017),,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
86,86,,,,,,,,400:50000,,1,400:50000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,mnist surrogate (Klein2017),,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,"0,25000",,,,"0,25000",,"0,25000","0,25000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
87,87,,,,,,,,50000:500000,,1,50000:500000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,mnist surrogate (Klein2017),,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,"0,20000","0,20000",,,,"0,20000",,"0,20000","0,20000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
88,88,,,,,,,,>500000,,1,>500000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,mnist surrogate (Klein2017),,,,,,Offline,Multiclass Classification,Image Recognition,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
89,89,,,,,,,,<4000,,1,<4000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Adult (OpenML),,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
90,90,,,,,,,,4000:100000,,1,4000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Adult (OpenML),,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,,"1,00000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
91,91,,,,,,,,<10000,,1,<10000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Higgs (OpenML),,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
92,92,,,,,,,,10000:100000,,1,10000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Higgs (OpenML),,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,,"1,00000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
93,93,,,,,,,,<100,,1,<100,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Letter (OpenML),1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
94,94,,,,,,,,100:2000,,1,100:2000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Letter (OpenML),1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,,,"1,00000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
95,95,,,,,,,,2000:20000,,1,2000:20000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Letter (OpenML),1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,"0,50000",,,,,,,,"0,50000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
96,96,,,,,,,,20000:40000,,1,20000:40000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Letter (OpenML),1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"0,33333","0,33333",,,,,,,,"0,33333",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
97,97,,,,,,,,<4000,,1,<4000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
98,98,,,,,,,,4000:100000,,1,4000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"0,33333","0,33333",,,,,,,,"0,33333",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
99,99,,,,,,,,<1000,,1,<1000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,Optdigits (OpenML),1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100,100,,,,,,,,1000:10000,,1,1000:10000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,Optdigits (OpenML),1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,,,"1,00000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
101,101,,,,,,,,<1000,,1,<1000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Poker (OpenML),,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,"0,33000",,,"0,33000","0,33000",,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
102,102,,,,,,,,1000:100000,,1,1000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Poker (OpenML),,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,,"1,00000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
103,103,,,,,,,<100,,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,,16 OpenML classification datasets,,,,,no,Offline,Multiclass Classification,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
104,104,,,,,,,<40,,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,,16 OpenML classification datasets,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
105,105,,,,,,,40:100,,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,,16 OpenML classification datasets,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,,,,"1,00000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
106,106,,,,,,,<50,,,,,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,16 OpenML classification datasets,,,,,no,Offline,Multiclass Classification,,,,,,,,,,,,,"1,00000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
107,107,,,,,,,50:100,,,,,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,16 OpenML classification datasets,,,,,no,Offline,Multiclass Classification,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
108,108,,,,,,,<100,,,,,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,16 OpenML classification datasets,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,,,,"1,00000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
109,109,,,,,,,<30,,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,10 UCI Regression datasets,,,,,no,Offline,Regression,,,,,,,,,,,,,"1,00000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
110,110,,,,,,,30:100,,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,10 UCI Regression datasets,,,,,no,Offline,Regression,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
111,111,,,,,,,<30,,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,10 UCI Regression datasets,,,,,yes,Offline,Regression,,,,,,,,,,,,,"1,00000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
112,112,,,,,,,30:100,,,,,XGBoost,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,,10 UCI Regression datasets,,,,,yes,Offline,Regression,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
113,113,,,,yes,,,<200,,1800,17,<360000,Convolutional Neural Net,,,,>10,no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"1,00000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
114,114,,,,yes,,,200:1000,,1800,17,360000:1800000,Convolutional Neural Net,,,,>10,no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,"1,00000",,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
115,115,,,,,,,<200,,,,,Synthetic Function,,,,"[1, 2, 3]",no,[continuous],,,Branin (HPOlib),,,,,,Offline,,Synthetic Function,,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
116,116,,,,,,,<200,,,,,Synthetic Function,,,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,,Hartmann6d (HPOlib),,,,,,Offline,,Synthetic Function,,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
117,117,,,,,,,<100,,,,,Logistic Regression,,,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Image Data,MNIST (OpenML),1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,"0,50000",,,"0,50000",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
118,118,,,,,,,<50,,,,,Latent Dirichlet Allocation (HPOlib),,,,"[1, 2, 3]",no,[discrete],,Text Data,wikipedia articles,,,,,,Offline,Text,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
119,119,,,,,,,<100,,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[discrete],,Tabular Data,UniProbe,,,,,,Offline,Multiclass Classification,,,,,,,,,"0,25000",,"0,25000",,"0,25000","0,25000",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
120,120,,,,,,,<50,,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[discrete],,Tabular Data,Wine (OpenML),<1000,1:4,,,,Offline,Multiclass Classification,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
121,121,,,,,,,>50,,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[discrete],,Tabular Data,Wine (OpenML),<1000,1:4,,,,Offline,Multiclass Classification,,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
122,122,,,,,,,<50,,,,,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,Hepatitis (OpenML),<1000,1:4,,,,Offline,Binary Classification,Classification,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
123,123,,,,,,,>50,,,,,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,Hepatitis (OpenML),<1000,1:4,,,,Offline,Binary Classification,Classification,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
124,124,,,,yes,,,,<12500,,8,<100000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
125,125,,,,yes,,,,12500:31250,,8,100000:250000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,"1,00000",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
126,126,,,,yes,,,,>31250,,8,>250000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
127,127,,,,no,,,,<150000,,1,<150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,25000","0,25000","0,25000",,"0,25000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
128,128,,,,no,,,,>150000,,1,>150000,Convolutional Neural Net,,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,CIFAR-10,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,25000","0,25000","0,25000",,"0,25000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
