,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
54,54,,,,,Process Parameter Prediction,,,1,5000:10000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,>100000,1:4,,,,Offline,Regression,Time Series Prediction,,,,,,,"1,00000",,,,,,,,,,,,,,,,,0.5830025819432696,,,0.07420032861096158,4.081018073602888,0.2915012909716348,,,0.5830025819432696,0.060910717516461,0.04484635245717459,0.453446452622543,,0.09716709699054493,0.5830025819432696,0.11660051638865392,,,,0.037787204385211916,0.2720678715735258,0.5830025819432696,
55,55,,,,,Process Parameter Prediction,,,1,>10000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,>100000,1:4,,,,Offline,Regression,Time Series Prediction,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,0.5830025819432696,,,0.07420032861096158,4.081018073602888,0.2915012909716348,,,0.5830025819432696,0.060910717516461,0.04484635245717459,0.453446452622543,,0.09716709699054493,0.5830025819432696,0.11660051638865392,,,,0.037787204385211916,0.2720678715735258,0.5830025819432696,
56,56,,,,,,<2,36000,1,<72000,Latent Dirichlet Allocation (HPOlib),,,yes,"[1, 2, 3]",no,[continuous],,Text Data,,,,,,Offline,Text,Text,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.9689294633755721,1.2919059511674293,0.07046759733640524,3.8757178535022883,0.9689294633755721,,,0.14906607128854957,0.1761689933410131,0.042590306082442735,0.12111618292194651,,0.9689294633755721,,,,,,0.03588627642131748,0.9689294633755721,1.2919059511674293,
57,57,,,,,,2:10,36000,1,72000:360000,Latent Dirichlet Allocation (HPOlib),,,yes,"[1, 2, 3]",no,[continuous],,Text Data,,,,,,Offline,Text,Text,,,,,,,"0,50000",,"0,50000",,,,,,,,,,,,,,,,3.0106324398683006,1.0035441466227668,0.0547387716339691,3.0106324398683006,0.7526581099670752,,,0.11579355537955004,0.13684692908492277,0.03308387296558572,0.0940822637458844,,0.7526581099670752,,,,,,0.027876226295076856,0.7526581099670752,1.0035441466227668,
58,58,,,,,,>10,36000,1,>360000,Latent Dirichlet Allocation (HPOlib),,,yes,"[1, 2, 3]",no,[continuous],,Text Data,,,,,,Offline,Text,Text,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,,3.0106324398683006,1.0035441466227668,0.0547387716339691,3.0106324398683006,0.7526581099670752,,,0.11579355537955004,0.13684692908492277,0.03308387296558572,0.0940822637458844,,0.7526581099670752,,,,,,0.027876226295076856,0.7526581099670752,1.0035441466227668,
59,59,,,,,,<2,60,1,<120,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,,,,1.018705214197584,0.6791368094650561,0.07408765194164248,4.074820856790336,0.5821172652557624,,,0.15672387910732063,0.06081822174313935,0.04477825117352018,0.09701954420929372,,0.08149641713580673,0.06268955164292826,0.1771661242082755,,,,0.03772982274805867,0.06467969613952915,0.07545964549611733,
60,60,,,,,,2:50,60,1,120:3000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,1.3375022960592438,0.6687511480296219,0.07295467069414056,4.0125068881777315,0.5732152697396758,,,0.1543271880068358,0.05988816251011539,0.04409348228766738,0.09553587828994597,,0.08025013776355462,0.061730875202734334,0.17445682122511874,,,,0.037152841557201215,0.06369058552663065,0.07430568311440243,
61,61,,,,,,>50,60,1,>3000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,,1.3375022960592438,0.6687511480296219,0.07295467069414056,4.0125068881777315,0.5732152697396758,,,0.1543271880068358,0.05988816251011539,0.04409348228766738,0.09553587828994597,,0.08025013776355462,0.061730875202734334,0.17445682122511874,,,,0.037152841557201215,0.06369058552663065,0.07430568311440243,
62,62,,,,,,<10,60,1,<600,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,,,,1.3375022960592438,0.6687511480296219,0.07295467069414056,4.0125068881777315,0.5732152697396758,,,0.1543271880068358,0.05988816251011539,0.04409348228766738,0.09553587828994597,,0.08025013776355462,0.061730875202734334,0.17445682122511874,,,,0.037152841557201215,0.06369058552663065,0.07430568311440243,
63,63,,,,,,10:100,60,1,600:6000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,1.9107666602666908,0.6369222200888969,0.06948242400969784,3.8215333205333817,0.5459333315047687,,,0.14698205078974547,0.057037810754229576,0.04199487165421299,0.09098888858412812,,0.07643066641066763,0.058792820315898185,0.16615362263188616,,,,0.035384567782716494,0.06065925905608542,0.07076913556543299,
64,64,,,,,,>100,60,1,>6000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,,0.8198540050712627,0.6832116708927188,0.07453218227920569,4.099270025356313,0.5856100036223304,,,0.1576642317444736,0.061183134706810645,0.045046923355563886,0.09760166727038841,,0.08198540050712627,0.06306569269778944,0.17822913153723102,,,,0.03795620393848438,0.06506777818025894,0.07591240787696876,
65,65,,,,yes,,<2,720,2,<2880,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.2733612174111161,,2.0502091305833705,0.6834030435277901,0.6834030435277901,4.100418261166741,0.26454311362366073,,,0.3154167893205186,0.3280334608933393,0.34170152176389507,0.3565581096666731,,0.16401673044666965,0.12616671572820742,0.3565581096666731,,,,0.0759336715030878,0.13017200829100764,0.1518673430061756,
66,66,,,,yes,,2:20,720,2,2880:28800,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,0.10444867396042483,,3.1334602188127447,0.2611216849010621,0.2611216849010621,3.1334602188127447,0.10107936189718532,,,0.12051770072356711,0.1253384087525098,0.13056084245053104,0.13623740081794541,,0.0626692043762549,0.04820708028942685,0.13623740081794541,,,,0.02901352054456245,0.04973746379067849,0.0580270410891249,
67,67,,,,yes,,20:200,720,2,28800:288000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,,0.10444867396042483,,3.1334602188127447,0.2611216849010621,0.2611216849010621,3.1334602188127447,0.10107936189718532,,,0.12051770072356711,0.1253384087525098,0.13056084245053104,0.13623740081794541,,0.0626692043762549,0.04820708028942685,0.13623740081794541,,,,0.02901352054456245,0.04973746379067849,0.0580270410891249,
68,68,,,,yes,,<10,720,2,<14400,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.13880134510757253,,1.3880134510757254,0.34700336276893134,0.34700336276893134,4.164040353227176,0.13432388236216697,,,0.16015539820104524,0.16656161412908704,0.17350168138446567,0.18104523274900766,,0.08328080706454352,0.0640621592804181,0.18104523274900766,,,,0.038555929196547926,0.06609587862265359,0.07711185839309585,
69,69,,,,yes,,10:100,720,2,14400:144000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,0.13193314547752288,,1.9789971821628434,0.3298328636938072,0.3298328636938072,3.9579943643256867,0.12767723755889313,,,0.1522305524740649,0.15831977457302748,0.1649164318469036,0.17208671149242116,,0.07915988728651374,0.060892220989625954,0.17208671149242116,,,,0.03664809596597858,0.062825307370249,0.07329619193195716,
70,70,,,,yes,,100:500,720,2,14400:720000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.10444867396042483,,3.1334602188127447,0.2611216849010621,0.2611216849010621,3.1334602188127447,0.10107936189718532,,,0.12051770072356711,0.1253384087525098,0.13056084245053104,0.13623740081794541,,0.0626692043762549,0.04820708028942685,0.13623740081794541,,,,0.02901352054456245,0.04973746379067849,0.0580270410891249,
71,71,,,,yes,,<2,720,2,<2880,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.2733612174111161,,2.0502091305833705,0.6834030435277901,0.6834030435277901,4.100418261166741,0.26454311362366073,,,0.3154167893205186,0.3280334608933393,0.34170152176389507,0.3565581096666731,,0.16401673044666965,0.12616671572820742,0.3565581096666731,,,,0.0759336715030878,0.13017200829100764,0.1518673430061756,
72,72,,,,yes,,2:50,720,2,2880:72000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,0.13880134510757253,,1.3880134510757254,0.34700336276893134,0.34700336276893134,4.164040353227176,0.13432388236216697,,,0.16015539820104524,0.16656161412908704,0.17350168138446567,0.18104523274900766,,0.08328080706454352,0.0640621592804181,0.18104523274900766,,,,0.038555929196547926,0.06609587862265359,0.07711185839309585,
73,73,,,,yes,,50:200,720,2,72000:288000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,,0.13193314547752288,,1.9789971821628434,0.3298328636938072,0.3298328636938072,3.9579943643256867,0.12767723755889313,,,0.1522305524740649,0.15831977457302748,0.1649164318469036,0.17208671149242116,,0.07915988728651374,0.060892220989625954,0.17208671149242116,,,,0.03664809596597858,0.062825307370249,0.07329619193195716,
74,74,,,,yes,,<5,720,2,<7200,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.13193314547752288,,1.9789971821628434,0.3298328636938072,0.3298328636938072,3.9579943643256867,0.12767723755889313,,,0.1522305524740649,0.15831977457302748,0.1649164318469036,0.17208671149242116,,0.07915988728651374,0.060892220989625954,0.17208671149242116,,,,0.03664809596597858,0.062825307370249,0.07329619193195716,
75,75,,,,yes,,5:50,720,2,7200:72000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,0.10444867396042483,,3.1334602188127447,0.2611216849010621,0.2611216849010621,3.1334602188127447,0.10107936189718532,,,0.12051770072356711,0.1253384087525098,0.13056084245053104,0.13623740081794541,,0.0626692043762549,0.04820708028942685,0.13623740081794541,,,,0.02901352054456245,0.04973746379067849,0.0580270410891249,
76,76,,,,yes,,50:500,720,2,72000:720000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.10444867396042483,,3.1334602188127447,0.2611216849010621,0.2611216849010621,3.1334602188127447,0.10107936189718532,,,0.12051770072356711,0.1253384087525098,0.13056084245053104,0.13623740081794541,,0.0626692043762549,0.04820708028942685,0.13623740081794541,,,,0.02901352054456245,0.04973746379067849,0.0580270410891249,
77,77,,,,,,<5,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,3.702202889458744,,,,1.4808811557834978,,,0.28478483765067264,0.29617623115669955,0.30851690745489535,0.3219306860398908,,0.14808811557834978,0.11391393506026906,0.3219306860398908,,,,0.06855931276775452,0.11753025045900774,0.13711862553550905,
78,78,,,,,,2:50,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,,3.562365950185684,,,,2.1374195701114105,,,0.4110422250214251,0.4274839140222821,0.4452957437732105,0.46465642828508924,,0.21374195701114104,0.16441689000857004,0.46465642828508924,,,,0.09895460972738011,0.1696364738183659,0.19790921945476023,
79,79,,,,,,50:200,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,,,,3.702202889458744,,,,1.4808811557834978,,,0.28478483765067264,0.29617623115669955,0.30851690745489535,0.3219306860398908,,0.14808811557834978,0.11391393506026906,0.3219306860398908,,,,0.06855931276775452,0.11753025045900774,0.13711862553550905,
80,80,,,,,,<10,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,,,,3.562365950185684,,,,2.1374195701114105,,,0.4110422250214251,0.4274839140222821,0.4452957437732105,0.46465642828508924,,0.21374195701114104,0.16441689000857004,0.46465642828508924,,,,0.09895460972738011,0.1696364738183659,0.19790921945476023,
81,81,,,,,,10:200,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,Image Data,1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,,3.7227591848974027,,,,0.7445518369794806,,,0.14318304557297704,0.1489103673958961,0.15511496603739175,0.16185909499553924,,0.07445518369794805,0.05727321822919081,0.16185909499553924,,,,0.03446999245275373,0.0590914156332921,0.06893998490550746,
82,82,,,,,,,,1,<10,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,,,,,,0.06205903907713995,3.4132471492426975,0.1706623574621349,,,,0.1551475976928499,0.03750821043123844,0.1066639734138343,,0.06826494298485396,,,,,,0.03160414027076572,0.05417852617845551,0.06320828054153144,
83,83,,,,,,,,1,"0,444444444",Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,0.06205903907713995,3.4132471492426975,0.1706623574621349,,,,0.1551475976928499,0.03750821043123844,0.1066639734138343,,0.06826494298485396,,,,,,0.03160414027076572,0.05417852617845551,0.06320828054153144,
84,84,,,,,,,,1,40:100,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,50000",,"0,50000",,,,,,,,,,,0.06205903907713995,3.4132471492426975,0.1706623574621349,,,,0.1551475976928499,0.03750821043123844,0.1066639734138343,,0.06826494298485396,,,,,,0.03160414027076572,0.05417852617845551,0.06320828054153144,
85,85,,,,,,,,1,100:400,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,33333",,"0,33333","0,33333",,,,,,,,,,0.06205903907713995,3.4132471492426975,0.1706623574621349,,,,0.1551475976928499,0.03750821043123844,0.1066639734138343,,0.06826494298485396,,,,,,0.03160414027076572,0.05417852617845551,0.06320828054153144,
86,86,,,,,,,,1,400:50000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,"0,25000",,,,"0,25000",,"0,25000","0,25000",,,,,,,,,,0.06205903907713995,3.4132471492426975,0.1706623574621349,,,,0.1551475976928499,0.03750821043123844,0.1066639734138343,,0.06826494298485396,,,,,,0.03160414027076572,0.05417852617845551,0.06320828054153144,
87,87,,,,,,,,1,50000:500000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,,,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"0,20000","0,20000",,,,"0,20000",,"0,20000","0,20000",,,,,,,,,,0.06205903907713995,3.4132471492426975,0.1706623574621349,,,,0.1551475976928499,0.03750821043123844,0.1066639734138343,,0.06826494298485396,,,,,,0.03160414027076572,0.05417852617845551,0.06320828054153144,
88,88,,,,,,,,1,>500000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Image Data,,,,,,Offline,Multiclass Classification,Image Recognition,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,,,,0.06205903907713995,3.4132471492426975,0.1706623574621349,,,,0.1551475976928499,0.03750821043123844,0.1066639734138343,,0.06826494298485396,,,,,,0.03160414027076572,0.05417852617845551,0.06320828054153144,
89,89,,,,,,,,1,<4000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,,,,,,0.12074778294605432,3.320564031016494,0.21422993748493507,,,,0.0991213143587013,0.07297942925310975,0.15812209671507113,,0.15812209671507113,,,,,,0.06149192650030544,0.27671366925137447,,
90,90,,,,,,,,1,4000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,0.12074778294605432,3.320564031016494,0.21422993748493507,,,,0.0991213143587013,0.07297942925310975,0.15812209671507113,,0.15812209671507113,,,,,,0.06149192650030544,0.27671366925137447,,
91,91,,,,,,,,1,<10000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,,,,,,0.05911787536517455,3.2514831450846007,0.10488655306724518,,,,0.04852959918036717,0.03573058401191869,0.07741626535915715,,0.07741626535915715,,,,,,0.030106325417450005,0.135478464378525,,
92,92,,,,,,,,1,10000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,0.05911787536517455,3.2514831450846007,0.10488655306724518,,,,0.04852959918036717,0.03573058401191869,0.07741626535915715,,0.07741626535915715,,,,,,0.030106325417450005,0.135478464378525,,
93,93,,,,,,,,1,<100,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,,,,,,0.44057093312238593,4.038566886955204,0.7816581071526202,,,,0.36166270629449593,0.26627913540363984,0.5769381267078862,,0.5769381267078862,0.3727907895650958,0.6923257520494636,,,,0.2243648270530669,0.38462541780525755,0.4487296541061338,
94,94,,,,,,,,1,100:2000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,0.06705495776469707,3.688022677058339,0.11896847345349479,,,,0.055045114582960276,0.040527721725915816,0.08781006373948425,,0.08781006373948425,0.056738810416282134,0.1053720764873811,,,,0.03414835812091054,0.058540042492989504,0.06829671624182108,
95,95,,,,,,,,1,2000:20000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,"0,50000",,,,,,,,"0,50000",,,,,,,,,,0.06705495776469707,3.688022677058339,0.11896847345349479,,,,0.055045114582960276,0.040527721725915816,0.08781006373948425,,0.08781006373948425,0.056738810416282134,0.1053720764873811,,,,0.03414835812091054,0.058540042492989504,0.06829671624182108,
96,96,,,,,,,,1,20000:40000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333",,,,,,,,"0,33333",,,,,,,,,,0.06705495776469707,3.688022677058339,0.11896847345349479,,,,0.055045114582960276,0.040527721725915816,0.08781006373948425,,0.08781006373948425,0.056738810416282134,0.1053720764873811,,,,0.03414835812091054,0.058540042492989504,0.06829671624182108,
97,97,,,,,,,,1,<4000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,,,,,0.13688977091520674,3.7644687001681856,0.24286894839794745,,,,0.11237220000502048,0.08273557582787222,0.17926041429372314,,0.15057874800672744,0.11582980615902111,0.41827430001868726,,,,0.06971238333644789,0.11950694286248208,0.13942476667289577,
98,98,,,,,,,,1,4000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,>4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333",,,,,,,,"0,33333",,,,,,,,,,0.13688977091520674,3.7644687001681856,0.24286894839794745,,,,0.11237220000502048,0.08273557582787222,0.17926041429372314,,0.15057874800672744,0.11582980615902111,0.41827430001868726,,,,0.06971238333644789,0.11950694286248208,0.13942476667289577,
99,99,,,,,,,,1,<1000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,"0,33333",,,"0,33333","0,33333",,,,,,,,,0.20864342923288606,3.8251295359362443,0.37017382605834626,,,,0.1712744568329662,0.1261031715143817,0.2732235382811603,,0.22950777215617468,0.17654444012013437,0.3278682459373924,,,,0.10625359822045123,0.18214902552077356,0.21250719644090246,
100,100,,,,,,,,1,1000:10000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,1000:100000,1:4,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,0.1365760461872907,3.755841270150494,0.24231234000970928,,,,0.11211466478061176,0.08254596198132955,0.17884958429288067,,0.15023365080601978,0.11556434677386136,0.21461950115145678,,,,0.06955261611389803,0.11923305619525378,0.13910523222779606,
101,101,,,,,,,,1,<1000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,"0,33000",,,"0,33000","0,33000",,,,,,,,,0.18483996922529897,3.388732769130481,0.327941880883595,,,,0.15173430309539468,0.11171646491638951,0.24205234065217723,,0.24205234065217723,,,,,,0.09413146580918004,0.42359159614131014,,
102,102,,,,,,,,1,1000:100000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,,,,,,Offline,Binary Classification,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,0.05911787536517455,3.2514831450846007,0.10488655306724518,,,,0.04852959918036717,0.03573058401191869,0.07741626535915715,,0.07741626535915715,,,,,,0.030106325417450005,0.135478464378525,,
103,103,,,,,,<100,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,,,,,,no,Offline,Multiclass Classification,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,2.3952438875916324,,,,0.7185731662774898,,,,0.6532483329795362,0.15792816841263513,0.4491082289234311,,,,,,,2.874292665109959,0.1330691048662018,0.22811846548491738,,
104,104,,,,,,<40,,,,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,,,,,,yes,Offline,Multiclass Classification,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,3.1352750993850904,,,,0.15676375496925452,,,,0.1425125045175041,0.03445357252071528,0.09797734685578408,,,,,,,0.6270550198770181,0.02903032499430639,0.04976627141881095,,
